Object_ID	Epoch	Mag	Filter	Survey
V2492_Cyg	2455438.52984	15.006	V	AAVSO_Johnson
V2492_Cyg	2455438.53125	14.988	V	AAVSO_Johnson
V2492_Cyg	2455438.53267	14.996	V	AAVSO_Johnson
V2492_Cyg	2455438.53409	14.990	V	AAVSO_Johnson
V2492_Cyg	2455438.53551	14.978	V	AAVSO_Johnson
V2492_Cyg	2455438.53692	14.968	V	AAVSO_Johnson
V2492_Cyg	2455438.53834	14.985	V	AAVSO_Johnson
V2492_Cyg	2455438.53976	14.991	V	AAVSO_Johnson
V2492_Cyg	2455438.54118	14.998	V	AAVSO_Johnson
V2492_Cyg	2455438.54259	14.957	V	AAVSO_Johnson
V2492_Cyg	2455438.54402	14.965	V	AAVSO_Johnson
V2492_Cyg	2455438.54543	14.995	V	AAVSO_Johnson
V2492_Cyg	2455438.54685	14.968	V	AAVSO_Johnson
V2492_Cyg	2455438.54826	14.975	V	AAVSO_Johnson
V2492_Cyg	2455438.54969	15.012	V	AAVSO_Johnson
V2492_Cyg	2455438.55110	14.985	V	AAVSO_Johnson
V2492_Cyg	2455438.55252	14.980	V	AAVSO_Johnson
V2492_Cyg	2455438.55394	14.945	V	AAVSO_Johnson
V2492_Cyg	2455438.55819	14.974	V	AAVSO_Johnson
V2492_Cyg	2455438.56103	14.974	V	AAVSO_Johnson
V2492_Cyg	2455438.56245	14.966	V	AAVSO_Johnson
V2492_Cyg	2455438.56387	15.016	V	AAVSO_Johnson
V2492_Cyg	2455438.56529	14.986	V	AAVSO_Johnson
V2492_Cyg	2455438.56670	14.977	V	AAVSO_Johnson
V2492_Cyg	2455438.56813	14.982	V	AAVSO_Johnson
V2492_Cyg	2455438.56954	15.015	V	AAVSO_Johnson
V2492_Cyg	2455438.57096	15.014	V	AAVSO_Johnson
V2492_Cyg	2455438.57237	15.013	V	AAVSO_Johnson
V2492_Cyg	2455438.57380	15.016	V	AAVSO_Johnson
V2492_Cyg	2455438.57521	15.023	V	AAVSO_Johnson
V2492_Cyg	2455438.57663	14.984	V	AAVSO_Johnson
V2492_Cyg	2455438.57804	15.049	V	AAVSO_Johnson
V2492_Cyg	2455438.57947	14.971	V	AAVSO_Johnson
V2492_Cyg	2455438.58088	15.005	V	AAVSO_Johnson
V2492_Cyg	2455438.58230	14.982	V	AAVSO_Johnson
V2492_Cyg	2455438.58372	14.975	V	AAVSO_Johnson
V2492_Cyg	2455438.58514	14.992	V	AAVSO_Johnson
V2492_Cyg	2455438.58655	15.001	V	AAVSO_Johnson
V2492_Cyg	2455438.58797	15.017	V	AAVSO_Johnson
V2492_Cyg	2455438.58940	15.008	V	AAVSO_Johnson
V2492_Cyg	2455438.59507	15.012	V	AAVSO_Johnson
V2492_Cyg	2455438.59648	14.987	V	AAVSO_Johnson
V2492_Cyg	2455438.59791	15.025	V	AAVSO_Johnson
V2492_Cyg	2455438.59932	15.003	V	AAVSO_Johnson
V2492_Cyg	2455438.60074	14.992	V	AAVSO_Johnson
V2492_Cyg	2455438.60215	14.994	V	AAVSO_Johnson
V2492_Cyg	2455438.60358	15.019	V	AAVSO_Johnson
V2492_Cyg	2455438.60499	15.004	V	AAVSO_Johnson
V2492_Cyg	2455438.60641	15.011	V	AAVSO_Johnson
V2492_Cyg	2455438.60782	15.017	V	AAVSO_Johnson
V2492_Cyg	2455438.60925	14.977	V	AAVSO_Johnson
V2492_Cyg	2455438.61066	14.990	V	AAVSO_Johnson
V2492_Cyg	2455438.61208	14.996	V	AAVSO_Johnson
V2492_Cyg	2455438.61350	14.975	V	AAVSO_Johnson
V2492_Cyg	2455438.61492	15.015	V	AAVSO_Johnson
V2492_Cyg	2455438.61633	14.981	V	AAVSO_Johnson
V2492_Cyg	2455438.61775	15.075	V	AAVSO_Johnson
V2492_Cyg	2455438.61918	15.026	V	AAVSO_Johnson
V2492_Cyg	2455438.62059	14.992	V	AAVSO_Johnson
V2492_Cyg	2455438.62201	15.064	V	AAVSO_Johnson
V2492_Cyg	2455438.62343	14.996	V	AAVSO_Johnson
V2492_Cyg	2455438.62485	15.021	V	AAVSO_Johnson
V2492_Cyg	2455438.62626	14.986	V	AAVSO_Johnson
V2492_Cyg	2455438.62769	15.035	V	AAVSO_Johnson
V2492_Cyg	2455438.62910	14.973	V	AAVSO_Johnson
V2492_Cyg	2455438.63052	14.994	V	AAVSO_Johnson
V2492_Cyg	2455438.63193	15.003	V	AAVSO_Johnson
V2492_Cyg	2455438.63336	15.017	V	AAVSO_Johnson
V2492_Cyg	2455438.63477	15.007	V	AAVSO_Johnson
V2492_Cyg	2455438.63619	15.031	V	AAVSO_Johnson
V2492_Cyg	2455438.63760	14.992	V	AAVSO_Johnson
V2492_Cyg	2455438.63903	15.007	V	AAVSO_Johnson
V2492_Cyg	2455438.64044	14.998	V	AAVSO_Johnson
V2492_Cyg	2455438.64186	14.978	V	AAVSO_Johnson
V2492_Cyg	2455438.64328	15.037	V	AAVSO_Johnson
V2492_Cyg	2455438.64470	15.001	V	AAVSO_Johnson
V2492_Cyg	2455438.64611	15.022	V	AAVSO_Johnson
V2492_Cyg	2455438.64753	15.016	V	AAVSO_Johnson
V2492_Cyg	2455438.64896	15.026	V	AAVSO_Johnson
V2492_Cyg	2455438.65037	15.055	V	AAVSO_Johnson
V2492_Cyg	2455438.65179	15.051	V	AAVSO_Johnson
V2492_Cyg	2455438.65321	15.051	V	AAVSO_Johnson
V2492_Cyg	2455438.65463	15.003	V	AAVSO_Johnson
